language	ID	basic	np	Dist_D	Dist_N	Dist_A	SatisfiedCorrelations
Afrikaans_2.8	2272558	SVO	AN_D	1	1	2	6
Afrikaans_2.8	2432248	OSV	AN_D	1	1	2	5
Afrikaans_2.8	3049200	OSV	AN_D	1	1	2	6
Afrikaans_2.8	4758453	OSV	AN_D	1	1	2	5
Afrikaans_2.8	4869876	OSV	AN_D	1	1	2	6
Afrikaans_2.8	5686896	SVO	AN_D	1	1	2	3
Afrikaans_2.8	5865172	SVO	AN_D	1	1	2	6
Afrikaans_2.8	5875076	SVO	DAN_	3	1	2	6
Afrikaans_2.8	6348666	SVO	A_ND	2	1	1	6
Afrikaans_2.8	7996462	SVO	AN_D	1	1	2	6
Akkadian_2.8	2076328	OSV	NDA_	2	3	1	5
Akkadian_2.8	4994306	OSV	DNA_	3	2	1	3
Akkadian_2.8	5306255	SVO	DA_N	2	1	1	5
Akkadian_2.8	5449123	OSV	DNA_	3	2	1	3
Akkadian_2.8	598615	SOV	DNA_	3	2	1	5
Akkadian_2.8	6294461	OSV	DNA_	3	2	1	3
Akkadian_2.8	6624101	SVO	DNA_	3	2	1	3
Akkadian_2.8	6760821	OSV	DNA_	3	2	1	4
Akkadian_2.8	7847616	OSV	NDA_	2	3	1	3
Akkadian_2.8	9790181	SVO	DNA_	3	2	1	3
Amharic_2.8	1265076	SOV	DAN_	3	1	2	7
Amharic_2.8	1331329	SVO	AN_D	1	1	2	3
Amharic_2.8	1587513	SVO	A_DN	1	2	1	6
Amharic_2.8	3364759	SOV	AD_N	1	1	2	8
Amharic_2.8	3622590	SOV	AD_N	1	1	2	8
Amharic_2.8	4426094	SOV	AD_N	1	1	2	8
Amharic_2.8	5562544	SOV	NA_D	1	2	1	3
Amharic_2.8	7986741	SOV	AD_N	1	1	2	8
Amharic_2.8	8665157	SOV	AD_N	1	1	2	4
Amharic_2.8	910877	SOV	AN_D	1	1	2	2
Ancient_Greek_2.8	113365	SVO	AN_D	1	1	2	7
Ancient_Greek_2.8	1908552	SVO	AN_D	1	1	2	7
Ancient_Greek_2.8	2645379	SVO	AN_D	1	1	2	7
Ancient_Greek_2.8	3551702	SVO	AN_D	1	1	2	7
Ancient_Greek_2.8	4260415	SOV	AD_N	1	1	2	6
Ancient_Greek_2.8	4740474	SVO	AD_N	1	1	2	3
Ancient_Greek_2.8	6971896	SOV	AD_N	1	1	2	6
Ancient_Greek_2.8	7736577	SVO	AD_N	1	1	2	6
Ancient_Greek_2.8	834767	SVO	AN_D	1	1	2	7
Ancient_Greek_2.8	8947563	SVO	AN_D	1	1	2	7
Arabic_2.8	2130044	SOV	DNA_	3	2	1	8
Arabic_2.8	2532806	SOV	NDA_	2	3	1	8
Arabic_2.8	2741993	SOV	DAN_	3	1	2	8
Arabic_2.8	3284041	SOV	DNA_	3	2	1	8
Arabic_2.8	3782996	SOV	DNA_	3	2	1	8
Arabic_2.8	653541	SOV	NDA_	2	3	1	8
Arabic_2.8	6991789	SOV	DNA_	3	2	1	8
Arabic_2.8	8027855	SOV	DNA_	3	2	1	8
Arabic_2.8	8479609	SOV	NDA_	2	3	1	8
Arabic_2.8	8931361	SVO	DNA_	3	2	1	5
Armenian_2.8	1844559	SVO	DA_N	2	1	1	7
Armenian_2.8	2094644	SOV	A_ND	2	1	1	5
Armenian_2.8	2396216	SOV	NA_D	1	2	1	8
Armenian_2.8	3858706	SVO	NDA_	2	3	1	8
Armenian_2.8	4337802	SOV	NA_D	1	2	1	7
