language	ID	basic	np	Dist_D	Dist_N	Dist_A	Surprisal2	DepLen	SatisfiedCorrelations
Afrikaans_2.8	2539940	SVO	AN_D	1	1	2	5.94	2.232	6
Afrikaans_2.8	4605749	SVO	AN_D	1	1	2	5.908	2.737	6
Afrikaans_2.8	520714	SVO	AN_D	1	1	2	5.94	2.232	6
Afrikaans_2.8	6210992	SVO	A_DN	1	2	1	5.936	2.2	7
Afrikaans_2.8	6357562	SVO	AN_D	1	1	2	5.928	2.349	6
Afrikaans_2.8	640524	SVO	A_DN	1	2	1	5.959	2.631	7
Afrikaans_2.8	6822475	SVO	A_DN	1	2	1	5.951	2.284	7
Afrikaans_2.8	7118164	SVO	AN_D	1	1	2	5.937	2.234	6
Afrikaans_2.8	856497	SVO	A_DN	1	2	1	5.944	2.453	7
Afrikaans_2.8	9438844	SVO	A_DN	1	2	1	5.988	4.257	7
Akkadian_2.8	1032530	SOV	NA_D	1	2	1	4.573	3.095	0
Akkadian_2.8	2987966	SOV	NA_D	1	2	1	4.573	3.092	0
Akkadian_2.8	3493547	SVO	NA_D	1	2	1	4.591	3.252	3
Akkadian_2.8	3974684	SOV	NA_D	1	2	1	4.512	3.209	6
Akkadian_2.8	5131409	SVO	NA_D	1	2	1	4.613	3.134	1
Akkadian_2.8	6032465	SOV	NA_D	1	2	1	4.572	3.125	0
Akkadian_2.8	6334347	SOV	NA_D	1	2	1	4.604	3.216	3
Akkadian_2.8	6345144	SOV	NA_D	1	2	1	4.605	3.217	3
Akkadian_2.8	7385651	SOV	NA_D	1	2	1	4.573	3.092	0
Akkadian_2.8	9921072	SOV	NA_D	1	2	1	4.606	3.217	3
Amharic_2.8	1591226	OSV	AND_	1	2	3	5.253	1.671	8
Amharic_2.8	5081473	SVO	ADN_	2	1	3	5.265	1.687	8
Amharic_2.8	5142422	SVO	ADN_	2	1	3	5.258	1.698	8
Amharic_2.8	5848555	SVO	AND_	1	2	3	5.266	1.686	8
Amharic_2.8	6847269	OSV	AND_	1	2	3	5.26	1.874	6
Amharic_2.8	7044107	SVO	AND_	1	2	3	5.304	1.684	8
Amharic_2.8	7114669	SVO	ADN_	2	1	3	5.302	1.686	8
Amharic_2.8	7451653	OSV	ADN_	2	1	3	5.231	1.677	8
Amharic_2.8	8597186	OSV	AND_	1	2	3	5.226	1.677	8
Amharic_2.8	991788	OSV	AND_	1	2	3	5.267	1.876	6
Ancient_Greek_2.8	1062661	OSV	AND_	1	2	3	7.565	2.253	8
Ancient_Greek_2.8	1136063	OSV	AND_	1	2	3	7.607	2.621	8
Ancient_Greek_2.8	1369301	OSV	AND_	1	2	3	7.564	2.329	8
Ancient_Greek_2.8	2048890	OSV	AND_	1	2	3	7.544	2.212	8
