language	ID	basic	np	Dist_D	Dist_N	Dist_A	Surprisal2	DepLen
Afrikaans_2.8	1942719	SVO	AN_D	1	1	2	5.808	3.211
Afrikaans_2.8	2610297	SVO	DAN_	3	1	2	5.853	3.173
Afrikaans_2.8	3635239	SVO	A_ND	2	1	1	5.951	3.355
Afrikaans_2.8	8025749	SVO	DAN_	3	1	2	5.874	2.803
Afrikaans_2.8	8994163	SVO	DAN_	3	1	2	5.854	2.535
Afrikaans_2.8	9883648	OSV	A_ND	2	1	1	5.943	2.608
Akkadian_2.8	1384027	SOV	DNA_	3	2	1	4.451	3.266
Akkadian_2.8	1902999	SOV	A_DN	1	2	1	4.486	3.144
Akkadian_2.8	2814534	SOV	NDA_	2	3	1	4.451	3.217
Akkadian_2.8	4299794	SOV	A_DN	1	2	1	4.482	3.146
Akkadian_2.8	662723	SVO	A_DN	1	2	1	4.541	3.981
Akkadian_2.8	6917865	SVO	DNA_	3	2	1	4.449	3.299
Akkadian_2.8	7001774	SVO	NA_D	1	2	1	4.607	3.285
Akkadian_2.8	7284730	SOV	A_DN	1	2	1	4.508	3.24
Akkadian_2.8	756867	SVO	NDA_	2	3	1	4.455	3.38
Akkadian_2.8	9296913	SOV	NDA_	2	3	1	4.551	3.229
Amharic_2.8	1503145	SVO	A_DN	1	2	1	4.976	2.166
Amharic_2.8	1694688	SVO	DAN_	3	1	2	5.165	2.009
Amharic_2.8	1754319	SVO	AD_N	1	1	2	5.019	1.977
Amharic_2.8	2254070	SOV	NDA_	2	3	1	5.008	2.762
Amharic_2.8	2513903	SVO	NA_D	1	2	1	5.023	1.952
Amharic_2.8	2839612	OSV	DAN_	3	1	2	5.059	2.021
Amharic_2.8	3715615	SVO	NA_D	1	2	1	5.026	1.947
Amharic_2.8	4547222	SVO	AN_D	1	1	2	5.008	1.967
Amharic_2.8	4591356	SOV	DAN_	3	1	2	4.953	3.064
Amharic_2.8	5908263	SVO	AN_D	1	1	2	5.061	2.081
Amharic_2.8	6400905	SOV	AN_D	1	1	2	5.111	2.351
Amharic_2.8	7246253	SOV	DA_N	2	1	1	4.974	3.18
Amharic_2.8	8283291	SOV	AN_D	1	1	2	4.96	2.632
Amharic_2.8	8438501	SVO	AND_	1	2	3	4.989	2.2
Ancient_Greek_2.8	1753586	SOV	AD_N	1	1	2	7.501	2.407
Ancient_Greek_2.8	2347224	SVO	NAD_	1	3	2	7.458	3.435
Ancient_Greek_2.8	2697351	SVO	AD_N	1	1	2	7.526	3.206
Ancient_Greek_2.8	6900199	SOV	AD_N	1	1	2	7.502	2.412
Ancient_Greek_2.8	7090178	SVO	A_ND	2	1	1	7.67	2.909
Ancient_Greek_2.8	7188031	SOV	ADN_	2	1	3	7.521	2.476
Ancient_Greek_2.8	9590262	SOV	AD_N	1	1	2	7.507	2.415
Arabic_2.8	1196354	SVO	NAD_	1	3	2	2.465	2.925
Arabic_2.8	1665441	OSV	NAD_	1	3	2	2.452	3.065
