language	ID	basic	np	Dist_D	Dist_N	Dist_A	Surprisal2	DepLen
Afrikaans_2.8	1810441	SVO	AN_D	1	1	2	5.788	3.449
Afrikaans_2.8	1894843	SVO	AN_D	1	1	2	5.95	2.487
Afrikaans_2.8	5744123	OSV	AN_D	1	1	2	5.873	3.521
Afrikaans_2.8	6150804	SVO	AN_D	1	1	2	5.994	6.264
Afrikaans_2.8	6501843	SVO	DAN_	3	1	2	5.927	4.444
Afrikaans_2.8	7256690	SOV	DAN_	3	1	2	5.901	4.158
Afrikaans_2.8	8512166	SVO	AN_D	1	1	2	5.805	3.37
Afrikaans_2.8	8604787	OSV	AN_D	1	1	2	5.863	3.8
Afrikaans_2.8	9581045	SVO	AN_D	1	1	2	5.933	2.251
Afrikaans_2.8	9946288	SVO	DAN_	3	1	2	5.892	2.264
Akkadian_2.8	1081157	SOV	A_DN	1	2	1	4.554	3.241
Akkadian_2.8	1717654	SVO	NDA_	2	3	1	4.51	3.174
Akkadian_2.8	4817327	SOV	NDA_	2	3	1	4.456	3.366
Akkadian_2.8	6865139	SOV	NDA_	2	3	1	4.472	3.226
Amharic_2.8	6444341	SOV	A_DN	1	2	1	5.033	2.401
Amharic_2.8	646943	SVO	AND_	1	2	3	4.97	2.042
Amharic_2.8	6892223	SOV	AN_D	1	1	2	4.971	2.425
Amharic_2.8	7002368	SOV	AD_N	1	1	2	4.996	2.504
Amharic_2.8	8074367	SOV	AD_N	1	1	2	4.977	2.802
Amharic_2.8	9001947	SOV	AN_D	1	1	2	4.994	2.532
Ancient_Greek_2.8	1458603	SOV	AD_N	1	1	2	7.524	2.223
Ancient_Greek_2.8	3162645	SOV	AD_N	1	1	2	7.535	2.428
Ancient_Greek_2.8	3398707	SOV	AD_N	1	1	2	7.549	2.262
Ancient_Greek_2.8	3581839	SVO	AD_N	1	1	2	7.473	3.496
Ancient_Greek_2.8	5612714	SOV	ADN_	2	1	3	7.55	2.26
Ancient_Greek_2.8	7364136	SOV	AD_N	1	1	2	7.524	2.223
Ancient_Greek_2.8	7945720	SOV	AD_N	1	1	2	7.572	2.349
Ancient_Greek_2.8	8080204	SVO	AN_D	1	1	2	7.465	3.419
Ancient_Greek_2.8	8233014	SOV	AD_N	1	1	2	7.513	2.62
Ancient_Greek_2.8	9082849	SVO	AN_D	1	1	2	7.479	3.79
Ancient_Greek_2.8	9755216	SVO	AN_D	1	1	2	7.464	3.412
Arabic_2.8	225294	SVO	NAD_	1	3	2	2.462	2.674
Arabic_2.8	2396635	SVO	NAD_	1	3	2	2.463	2.696
Arabic_2.8	3659673	SVO	NAD_	1	3	2	2.461	2.691
Arabic_2.8	4859192	SVO	DAN_	3	1	2	2.49	2.964
Arabic_2.8	537979	OSV	NDA_	2	3	1	2.456	2.728
Arabic_2.8	5676946	SVO	NDA_	2	3	1	2.484	2.934
Arabic_2.8	6515970	SVO	NAD_	1	3	2	2.461	2.7
Arabic_2.8	6826763	SVO	NAD_	1	3	2	2.466	2.847
Arabic_2.8	8441242	OSV	NDA_	2	3	1	2.475	3.019
Arabic_2.8	8947715	OSV	AND_	1	2	3	2.456	2.772
Arabic_2.8	9505065	OSV	AND_	1	2	3	2.468	2.688
Armenian_2.8	122034	SOV	DA_N	2	1	1	7.958	2.934
Armenian_2.8	1647273	SVO	DNA_	3	2	1	7.993	2.523
Armenian_2.8	3889467	SVO	DAN_	3	1	2	7.992	2.535
Armenian_2.8	5999480	SOV	NA_D	1	2	1	7.969	2.775
Armenian_2.8	6930886	SVO	DNA_	3	2	1	8.004	2.467
Armenian_2.8	7348520	SVO	DNA_	3	2	1	7.999	2.494
Armenian_2.8	7426772	OSV	NDA_	2	3	1	7.981	2.672
Bambara_2.8	1889889	SOV	A_DN	1	2	1	4.33	2.097
Bambara_2.8	4681717	SVO	AN_D	1	1	2	4.398	2.096
Bambara_2.8	4942667	SOV	A_DN	1	2	1	4.436	2.257
Bambara_2.8	687461	SVO	A_DN	1	2	1	4.364	2.292
