language	ID	basic	np	Dist_D	Dist_N	Dist_A	Surprisal2	DepLen
Afrikaans_2.8	2326225	OSV	A_ND	2	1	1	5.93	3.134
Afrikaans_2.8	7100182	OSV	A_ND	2	1	1	5.936	3.182
Afrikaans_2.8	9603235	SVO	A_ND	2	1	1	6.017	6.528
Akkadian_2.8	2298257	SVO	DNA_	3	2	1	4.572	3.946
Akkadian_2.8	3438973	SVO	NDA_	2	3	1	4.468	3.276
Akkadian_2.8	3901248	SVO	DNA_	3	2	1	4.498	3.583
Akkadian_2.8	4159836	SVO	A_ND	2	1	1	4.459	3.347
Akkadian_2.8	4174922	OSV	A_DN	1	2	1	4.466	3.215
Akkadian_2.8	5805522	SOV	DNA_	3	2	1	4.469	3.444
Akkadian_2.8	5812075	SOV	NDA_	2	3	1	4.471	3.183
Akkadian_2.8	6260048	SVO	NDA_	2	3	1	4.579	3.519
Amharic_2.8	221485	SOV	AND_	1	2	3	4.973	2.8
Amharic_2.8	2282625	SOV	AND_	1	2	3	4.968	2.524
Amharic_2.8	3611827	SVO	AN_D	1	1	2	4.953	2.246
Amharic_2.8	521688	SVO	AN_D	1	1	2	5.103	2.474
Amharic_2.8	6375433	SVO	AN_D	1	1	2	4.963	2.299
Amharic_2.8	7322703	SOV	AND_	1	2	3	5.124	2.127
Amharic_2.8	8773226	SVO	NDA_	2	3	1	5.041	2.291
Amharic_2.8	9383999	SOV	DAN_	3	1	2	4.99	2.564
Ancient_Greek_2.8	1118973	SVO	AD_N	1	1	2	7.503	2.911
Ancient_Greek_2.8	2892707	SOV	AD_N	1	1	2	7.512	2.773
Ancient_Greek_2.8	3917149	SOV	ADN_	2	1	3	7.504	2.928
Ancient_Greek_2.8	5271535	SVO	ADN_	2	1	3	7.464	3.158
Arabic_2.8	1018075	OSV	NAD_	1	3	2	2.457	3.029
Arabic_2.8	3183813	OSV	DAN_	3	1	2	2.48	3.239
Arabic_2.8	7786837	SVO	DNA_	3	2	1	2.477	3.774
Arabic_2.8	9233458	OSV	AND_	1	2	3	2.454	3.018
Armenian_2.8	5547750	SVO	DA_N	2	1	1	7.988	3.248
Armenian_2.8	5772707	SVO	DNA_	3	2	1	7.917	2.936
Armenian_2.8	9897090	SVO	NA_D	1	2	1	7.898	2.943
Bambara_2.8	8171750	SOV	A_DN	1	2	1	4.36	2.244
Bambara_2.8	9457062	SOV	NDA_	2	3	1	4.301	2.422
Bambara_2.8	9761453	SOV	A_DN	1	2	1	4.306	2.327
Basque_2.8	3449749	OSV	DNA_	3	2	1	7.831	2.293
Basque_2.8	4597667	SOV	DNA_	3	2	1	7.8	2.562
Basque_2.8	4941567	OSV	DNA_	3	2	1	7.831	2.261
Basque_2.8	5733812	SOV	NDA_	2	3	1	7.803	2.766
Basque_2.8	9198984	SOV	A_ND	2	1	1	7.804	2.655
Belarusian_2.8	2807889	SOV	A_ND	2	1	1	8.105	2.396
Belarusian_2.8	4487827	SVO	DNA_	3	2	1	8.084	2.614
Belarusian_2.8	7081925	SVO	DA_N	2	1	1	8.168	2.641
Belarusian_2.8	7110775	SVO	DA_N	2	1	1	8.067	2.42
Belarusian_2.8	7551405	SVO	DA_N	2	1	1	8.088	2.573
Belarusian_2.8	7600878	SVO	DA_N	2	1	1	8.066	2.399
Belarusian_2.8	9346009	SVO	DA_N	2	1	1	8.065	2.427
Breton_2.8	1029252	SOV	A_ND	2	1	1	5.913	2.388
Breton_2.8	1390741	SOV	DAN_	3	1	2	5.934	2.243
Breton_2.8	3047704	SOV	A_ND	2	1	1	5.935	2.385
Breton_2.8	3659236	OSV	DA_N	2	1	1	5.961	2.352
Breton_2.8	5563927	SOV	DAN_	3	1	2	6.062	2.535
Breton_2.8	5692183	SOV	DAN_	3	1	2	5.928	2.233
Breton_2.8	7165489	SOV	DAN_	3	1	2	5.929	2.234
Breton_2.8	7560089	OSV	DA_N	2	1	1	5.951	2.269
Breton_2.8	8856340	OSV	A_ND	2	1	1	5.95	2.395
Breton_2.8	9955207	OSV	A_ND	2	1	1	5.971	2.284
Bulgarian_2.8	1604792	SOV	NA_D	1	2	1	7.359	2.54
Bulgarian_2.8	2326822	SOV	NA_D	1	2	1	7.342	2.813
Bulgarian_2.8	2556233	OSV	NA_D	1	2	1	7.343	2.659
Bulgarian_2.8	3800481	SVO	AN_D	1	1	2	7.437	2.615
Bulgarian_2.8	5696060	SOV	AN_D	1	1	2	7.418	2.928
Bulgarian_2.8	6244603	SOV	NA_D	1	2	1	7.342	2.804
Bulgarian_2.8	6374872	SOV	DAN_	3	1	2	7.386	2.851
Bulgarian_2.8	6577113	SOV	DA_N	2	1	1	7.421	2.933
Buryat_2.8	1007672	SVO	NDA_	2	3	1	7.882	2.36
Buryat_2.8	149901	SOV	NDA_	2	3	1	7.865	2.268
Buryat_2.8	3664246	SOV	NA_D	1	2	1	7.865	2.184
Buryat_2.8	369601	SOV	NDA_	2	3	1	7.905	2.162
Buryat_2.8	41010	SOV	NDA_	2	3	1	7.95	2.086
Buryat_2.8	4299274	SVO	NAD_	1	3	2	7.886	2.259
Buryat_2.8	5875866	SVO	NAD_	1	3	2	7.909	2.177
Buryat_2.8	6575935	SOV	A_DN	1	2	1	7.899	2.202
Buryat_2.8	7024566	SOV	DAN_	3	1	2	7.891	2.128
Buryat_2.8	7083776	SOV	DAN_	3	1	2	7.901	2.095
Buryat_2.8	7535418	SOV	DA_N	2	1	1	7.869	2.13
Buryat_2.8	9610235	SVO	NDA_	2	3	1	7.896	2.326
Cantonese_2.8	2020126	SVO	ADN_	2	1	3	5.299	2.664
Cantonese_2.8	299078	OSV	DNA_	3	2	1	5.376	3.256
Cantonese_2.8	4071310	SOV	DNA_	3	2	1	5.22	3.149
Cantonese_2.8	5077900	SVO	DNA_	3	2	1	5.311	2.755
Cantonese_2.8	509642	SVO	NA_D	1	2	1	5.291	3.167
Cantonese_2.8	5098331	SOV	DNA_	3	2	1	5.238	2.941
Cantonese_2.8	5834002	OSV	DNA_	3	2	1	5.309	2.663
Cantonese_2.8	7174254	SVO	ADN_	2	1	3	5.285	2.662
Cantonese_2.8	7921310	SVO	DAN_	3	1	2	5.367	2.459
Cantonese_2.8	8355450	SVO	ADN_	2	1	3	5.263	2.648
