language	ID	basic	np	Dist_D	Dist_N	Dist_A	Surprisal2	DepLen
Afrikaans_2.8	1315747	OSV	A_DN	1	2	1	6.002	2.842
Afrikaans_2.8	2084282	SVO	A_DN	1	2	1	6.063	2.424
Afrikaans_2.8	2549012	SVO	A_DN	1	2	1	6.068	2.592
Afrikaans_2.8	8416152	SVO	A_DN	1	2	1	6.065	2.426
Afrikaans_2.8	8550388	SVO	AND_	1	2	3	5.999	2.614
Afrikaans_2.8	9684337	SVO	A_DN	1	2	1	6.117	2.7
Akkadian_2.8	1553331	SVO	NA_D	1	2	1	4.731	3.222
Akkadian_2.8	3707113	SVO	NA_D	1	2	1	4.725	3.202
Akkadian_2.8	3804273	SOV	NA_D	1	2	1	4.527	3.127
Akkadian_2.8	4775038	SOV	NA_D	1	2	1	4.653	3.2
Akkadian_2.8	5530995	SOV	NA_D	1	2	1	4.651	3.202
Akkadian_2.8	7388109	SVO	NA_D	1	2	1	4.729	3.206
Akkadian_2.8	882078	SOV	NA_D	1	2	1	4.532	3.128
Akkadian_2.8	9279216	SOV	NA_D	1	2	1	4.663	3.246
Amharic_2.8	3166354	SVO	AN_D	1	1	2	5.33	1.907
Amharic_2.8	3447842	SVO	AN_D	1	1	2	5.19	1.875
Amharic_2.8	3710364	SVO	AN_D	1	1	2	5.284	1.884
Amharic_2.8	3781398	OSV	ADN_	2	1	3	5.261	1.94
Amharic_2.8	4036286	OSV	AND_	1	2	3	5.292	1.905
Amharic_2.8	5722480	SVO	AD_N	1	1	2	5.224	1.889
Amharic_2.8	6024647	SVO	ADN_	2	1	3	5.323	1.925
Amharic_2.8	6252438	SVO	ADN_	2	1	3	5.228	1.886
Amharic_2.8	734443	OSV	AND_	1	2	3	5.246	2.233
Amharic_2.8	7947049	SVO	AN_D	1	1	2	5.276	1.873
Amharic_2.8	897979	SVO	AN_D	1	1	2	5.156	1.836
Amharic_2.8	9249451	SVO	AN_D	1	1	2	5.161	1.834
Ancient_Greek_2.8	126472	OSV	AN_D	1	1	2	7.663	2.436
Ancient_Greek_2.8	2015481	OSV	AND_	1	2	3	7.607	2.382
Ancient_Greek_2.8	3571764	OSV	AND_	1	2	3	7.61	2.372
Ancient_Greek_2.8	4020898	SVO	AN_D	1	1	2	7.628	2.437
Ancient_Greek_2.8	4385660	SVO	AN_D	1	1	2	7.628	2.392
Ancient_Greek_2.8	4668514	OSV	AND_	1	2	3	7.6	2.39
Ancient_Greek_2.8	4884254	SVO	AN_D	1	1	2	7.629	2.401
Ancient_Greek_2.8	6255661	OSV	AN_D	1	1	2	7.674	2.446
Ancient_Greek_2.8	6404015	OSV	AN_D	1	1	2	7.662	2.448
Ancient_Greek_2.8	6653736	OSV	AND_	1	2	3	7.618	2.409
Ancient_Greek_2.8	6856104	OSV	AND_	1	2	3	7.636	2.472
Ancient_Greek_2.8	7601255	OSV	AND_	1	2	3	7.609	2.376
Ancient_Greek_2.8	8102677	OSV	AND_	1	2	3	7.68	2.479
Ancient_Greek_2.8	9237841	OSV	AND_	1	2	3	7.593	2.356
Ancient_Greek_2.8	9428782	OSV	AND_	1	2	3	7.639	2.55
Arabic_2.8	1000331	SVO	DNA_	3	2	1	2.477	2.953
Arabic_2.8	2424149	SVO	NAD_	1	3	2	2.489	3.56
Arabic_2.8	341963	SVO	NAD_	1	3	2	2.477	2.919
Arabic_2.8	5013856	SVO	NA_D	1	2	1	2.558	2.986
Arabic_2.8	529667	SVO	NAD_	1	3	2	2.481	2.924
Arabic_2.8	6658207	SVO	NAD_	1	3	2	2.476	3.01
Arabic_2.8	7171857	SVO	NAD_	1	3	2	2.498	3.18
Arabic_2.8	7675007	SVO	NAD_	1	3	2	2.477	3.154
Armenian_2.8	3504534	SVO	ADN_	2	1	3	8.04	2.543
Armenian_2.8	371113	SVO	AND_	1	2	3	8.033	2.542
Armenian_2.8	4012590	SVO	AND_	1	2	3	8.023	2.628
