language	ID	basic	np	Dist_D	Dist_N	Dist_A	Surprisal2	DepLen	SatisfiedCorrelations
Dutch_2.8	7283990	SVO	NA_D	1	2	1	6.706	2.313	8
English_2.8	2113645	SVO	NA_D	1	2	1	6.732	4.013	8
English_2.8	2131464	SVO	NA_D	1	2	1	6.546	2.183	8
English_2.8	2349901	OSV	NA_D	1	2	1	6.602	2.668	6
English_2.8	3078005	SVO	NA_D	1	2	1	6.545	2.214	8
English_2.8	40699	SVO	NA_D	1	2	1	6.563	2.183	8
English_2.8	4564822	SVO	NA_D	1	2	1	6.543	2.231	8
English_2.8	5270849	SVO	NA_D	1	2	1	6.541	2.27	8
English_2.8	6791506	SVO	NA_D	1	2	1	6.545	2.187	8
English_2.8	7786235	SVO	NA_D	1	2	1	6.545	2.222	8
English_2.8	9303268	SVO	NA_D	1	2	1	6.589	2.464	8
Erzya_2.8	1453924	SVO	A_ND	2	1	1	7.993	2.273	2
Erzya_2.8	2587058	SVO	DA_N	2	1	1	7.996	2.06	8
Erzya_2.8	4824904	SVO	NA_D	1	2	1	7.953	2.361	6
Erzya_2.8	5044810	SVO	DA_N	2	1	1	7.966	2.194	7
Erzya_2.8	5779927	SVO	DA_N	2	1	1	7.964	2.182	6
Erzya_2.8	6897867	SVO	AND_	1	2	3	7.948	2.271	5
Erzya_2.8	7396373	OSV	DA_N	2	1	1	7.974	2.221	7
Erzya_2.8	8057224	SOV	NDA_	2	3	1	7.936	2.207	4
Erzya_2.8	924724	SVO	DNA_	3	2	1	7.949	2.152	7
Erzya_2.8	9574033	SVO	DA_N	2	1	1	7.959	2.19	7
Estonian_2.8	1241050	SOV	DNA_	3	2	1	8.647	2.7	7
Estonian_2.8	2572626	OSV	DAN_	3	1	2	8.653	2.34	8
Estonian_2.8	2915970	OSV	DAN_	3	1	2	8.583	2.482	8
Estonian_2.8	4226804	OSV	DAN_	3	1	2	8.586	2.649	8
Estonian_2.8	5441907	SOV	DAN_	3	1	2	8.625	2.213	8
Estonian_2.8	6856563	OSV	DAN_	3	1	2	8.585	2.471	8
Estonian_2.8	9260204	OSV	DAN_	3	1	2	8.592	2.43	8
Faroese_2.8	2279905	SVO	NA_D	1	2	1	5.835	2.279	8
Faroese_2.8	2791701	SVO	DA_N	2	1	1	5.811	2.331	8
Faroese_2.8	2973806	SVO	NA_D	1	2	1	5.815	2.256	8
Faroese_2.8	3522134	SVO	DA_N	2	1	1	5.814	2.404	8
Faroese_2.8	3836125	SVO	NA_D	1	2	1	5.844	2.707	8
Faroese_2.8	3934584	SVO	NA_D	1	2	1	5.863	2.35	8
Faroese_2.8	716290	SVO	DNA_	3	2	1	5.834	2.285	8
Faroese_2.8	8295110	SVO	DA_N	2	1	1	5.805	2.346	8
Faroese_2.8	8443843	SVO	NA_D	1	2	1	5.813	2.259	8
Faroese_2.8	8692438	SVO	NA_D	1	2	1	5.814	2.255	8
Finnish_2.8	225921	OSV	NDA_	2	3	1	8.811	2.198	8
Finnish_2.8	3663153	OSV	NDA_	2	3	1	8.813	2.196	8
Finnish_2.8	3913024	OSV	DNA_	3	2	1	8.806	2.263	8
Finnish_2.8	6857787	OSV	DNA_	3	2	1	8.808	2.258	8
Finnish_2.8	8308093	OSV	NDA_	2	3	1	8.844	2.299	8
Finnish_2.8	8461947	OSV	DNA_	3	2	1	8.807	2.277	8
Finnish_2.8	8680604	OSV	NDA_	2	3	1	8.824	2.176	8
Finnish_2.8	9720390	OSV	DNA_	3	2	1	8.812	2.413	8
Finnish_2.8	9848151	OSV	DNA_	3	2	1	8.805	2.29	8
French_2.8	1242690	SVO	A_ND	2	1	1	6.158	2.855	8
French_2.8	4103289	SVO	A_ND	2	1	1	6.125	2.497	8
French_2.8	5038300	SVO	A_ND	2	1	1	6.165	2.7	8
French_2.8	609712	SVO	A_ND	2	1	1	6.069	2.398	8
French_2.8	6849007	SVO	A_ND	2	1	1	6.146	2.602	8
French_2.8	7777164	SVO	A_ND	2	1	1	6.068	2.395	8
French_2.8	7933219	SVO	A_ND	2	1	1	6.126	2.482	8
French_2.8	9380490	SVO	A_ND	2	1	1	6.069	2.396	8
Galician_2.8	1734349	SVO	NA_D	1	2	1	6.295	2.607	8
Galician_2.8	2858210	SVO	A_ND	2	1	1	6.28	2.403	8
Galician_2.8	6000419	SVO	NA_D	1	2	1	6.296	2.599	8
Galician_2.8	6038621	SVO	NA_D	1	2	1	6.297	2.66	8
Galician_2.8	781096	SVO	A_ND	2	1	1	6.282	2.402	8
Galician_2.8	8528471	SVO	NA_D	1	2	1	6.296	2.601	8
Galician_2.8	9730420	SVO	A_ND	2	1	1	6.281	2.402	8
Gothic_2.8	112004	OSV	DAN_	3	1	2	6.313	2.208	7
Gothic_2.8	1424048	OSV	DNA_	3	2	1	6.315	2.219	7
Gothic_2.8	1610849	OSV	DA_N	2	1	1	6.298	2.811	4
Gothic_2.8	2558165	SOV	DNA_	3	2	1	6.346	2.412	7
Gothic_2.8	2814122	OSV	DA_N	2	1	1	6.33	2.095	7
Gothic_2.8	3106866	SVO	NA_D	1	2	1	6.305	2.137	7
Gothic_2.8	6663236	SVO	NA_D	1	2	1	6.34	3.499	7
Gothic_2.8	7525381	OSV	DAN_	3	1	2	6.314	2.259	7
Gothic_2.8	7595133	OSV	DA_N	2	1	1	6.35	2.139	7
Gothic_2.8	79354	OSV	DAN_	3	1	2	6.315	2.208	7
Greek_2.8	1000204	SVO	NA_D	1	2	1	6.702	2.453	8
Greek_2.8	1068391	SVO	NA_D	1	2	1	6.694	2.899	8
Greek_2.8	2156507	SVO	NA_D	1	2	1	6.776	3.065	7
Greek_2.8	4301246	SOV	A_DN	1	2	1	6.801	2.768	8
Greek_2.8	5029876	SVO	NA_D	1	2	1	6.682	2.513	7
Greek_2.8	5691637	SVO	NA_D	1	2	1	6.693	2.507	8
Greek_2.8	5761992	SVO	NA_D	1	2	1	6.746	2.626	8
Greek_2.8	6895200	SVO	NA_D	1	2	1	6.677	2.535	8
Greek_2.8	9023285	SVO	NA_D	1	2	1	6.703	2.86	5
Greek_2.8	9861128	SVO	NA_D	1	2	1	6.695	2.468	8
Hebrew_2.8	130395	OSV	DA_N	2	1	1	6.369	2.647	8
Hebrew_2.8	1991048	SVO	DAN_	3	1	2	6.428	2.569	8
Hebrew_2.8	214375	SVO	DA_N	2	1	1	6.386	2.682	8
Hebrew_2.8	3692477	SVO	DAN_	3	1	2	6.439	2.613	8
Hebrew_2.8	4428427	SVO	DAN_	3	1	2	6.398	2.449	8
Hebrew_2.8	6451505	OSV	DAN_	3	1	2	6.376	2.444	8
Hebrew_2.8	6678845	SVO	DA_N	2	1	1	6.448	2.49	8
Hebrew_2.8	7663763	OSV	DNA_	3	2	1	6.379	2.444	8
Hebrew_2.8	966161	OSV	DNA_	3	2	1	6.381	2.436	8
Hindi_2.8	1037223	OSV	DNA_	3	2	1	5.867	2.523	8
Hindi_2.8	1307491	OSV	DNA_	3	2	1	5.855	2.577	8
Hindi_2.8	1881750	OSV	DNA_	3	2	1	5.863	2.521	8
Hindi_2.8	2036334	OSV	DNA_	3	2	1	5.789	2.577	8
Hindi_2.8	3905521	OSV	DNA_	3	2	1	5.864	2.521	8
Hindi_2.8	6712533	OSV	DNA_	3	2	1	5.92	2.869	8
Hindi_2.8	7612271	OSV	DNA_	3	2	1	5.858	2.658	8
Hindi_2.8	8135190	OSV	DNA_	3	2	1	5.861	2.664	8
Hindi_2.8	9279966	OSV	DNA_	3	2	1	5.784	2.53	8
Hindi_2.8	9725470	OSV	DNA_	3	2	1	5.788	2.556	8
Hindi_2.8	9874000	OSV	DNA_	3	2	1	5.863	2.52	8
Hungarian_2.8	3020424	SOV	DAN_	3	1	2	7.962	2.775	8
Hungarian_2.8	5262091	SOV	DAN_	3	1	2	7.948	3.012	8
Hungarian_2.8	5664097	OSV	AN_D	1	1	2	8.028	2.696	4
Hungarian_2.8	5879824	SOV	DAN_	3	1	2	7.972	2.62	8
Hungarian_2.8	6050916	SOV	DAN_	3	1	2	7.979	2.637	8
Hungarian_2.8	6416680	OSV	ADN_	2	1	3	7.985	2.602	7
Hungarian_2.8	7368376	SOV	DAN_	3	1	2	7.976	2.828	8
Hungarian_2.8	7534363	SVO	ADN_	2	1	3	8.018	2.792	3
Hungarian_2.8	7927656	SVO	DAN_	3	1	2	7.984	2.841	5
Hungarian_2.8	8780170	SOV	DAN_	3	1	2	7.973	2.644	8
Icelandic_2.8	2749005	OSV	DAN_	3	1	2	6.741	2.704	7
Icelandic_2.8	3594619	SVO	ADN_	2	1	3	6.707	2.512	8
Icelandic_2.8	3749047	OSV	AN_D	1	1	2	6.774	3.335	3
Icelandic_2.8	4246461	OSV	ADN_	2	1	3	6.733	2.549	7
Icelandic_2.8	4971007	SVO	DAN_	3	1	2	6.676	3.362	8
Icelandic_2.8	7159832	SVO	ADN_	2	1	3	6.733	3.494	8
Icelandic_2.8	756956	SVO	DAN_	3	1	2	6.696	2.66	8
Icelandic_2.8	8448951	OSV	ADN_	2	1	3	6.74	2.552	7
Icelandic_2.8	8927713	SVO	ADN_	2	1	3	6.77	2.772	8
Icelandic_2.8	935056	SVO	DNA_	3	2	1	6.701	2.678	8
Indonesian_2.8	1598338	SVO	NA_D	1	2	1	7.563	2.279	8
Indonesian_2.8	2833413	SVO	NA_D	1	2	1	7.558	2.237	8
Indonesian_2.8	4697797	SVO	NA_D	1	2	1	7.607	2.409	8
Indonesian_2.8	4787793	SVO	NA_D	1	2	1	7.567	2.306	8
Indonesian_2.8	4920936	SVO	NA_D	1	2	1	7.598	2.444	8
Indonesian_2.8	506500	SVO	NA_D	1	2	1	7.596	2.448	8
Indonesian_2.8	5367539	SVO	NA_D	1	2	1	7.607	2.39	8
Indonesian_2.8	8610429	SVO	NA_D	1	2	1	7.614	2.375	8
Indonesian_2.8	9664433	SVO	NA_D	1	2	1	7.558	2.237	8
Indonesian_2.8	9782167	SVO	NA_D	1	2	1	7.603	2.323	8
Irish_2.8	1225858	OSV	DNA_	3	2	1	6.522	2.554	8
Irish_2.8	1536695	OSV	NA_D	1	2	1	6.604	2.852	2
Irish_2.8	1713898	OSV	NA_D	1	2	1	6.515	2.733	8
Irish_2.8	2600557	OSV	DNA_	3	2	1	6.518	2.554	8
Irish_2.8	4196327	OSV	NDA_	2	3	1	6.54	2.479	7
Irish_2.8	4891958	OSV	DNA_	3	2	1	6.51	2.605	8
Irish_2.8	6379415	OSV	NA_D	1	2	1	6.61	2.87	2
Irish_2.8	6654402	OSV	NA_D	1	2	1	6.517	2.72	8
Irish_2.8	7287062	OSV	DNA_	3	2	1	6.53	2.669	8
Irish_2.8	9062841	OSV	NA_D	1	2	1	6.514	2.733	8
Italian_2.8	2446131	OSV	NA_D	1	2	1	6.268	2.408	8
Italian_2.8	4129573	OSV	NA_D	1	2	1	6.257	2.746	3
Italian_2.8	4863773	SVO	NA_D	1	2	1	6.263	2.712	8
Italian_2.8	534249	OSV	NA_D	1	2	1	6.23	2.55	8
Italian_2.8	5783943	OSV	AN_D	1	1	2	6.254	2.849	3
Italian_2.8	6822117	OSV	NA_D	1	2	1	6.217	2.392	8
Italian_2.8	7601121	OSV	NA_D	1	2	1	6.257	2.981	3
Japanese-GSD_2.8	2230406	SOV	DAN_	3	1	2	6.303	2.294	7
Japanese-GSD_2.8	3134012	SOV	ADN_	2	1	3	6.308	2.383	7
Japanese-GSD_2.8	3397355	SOV	DAN_	3	1	2	6.297	2.346	7
Japanese-GSD_2.8	3551044	SOV	ADN_	2	1	3	6.295	2.343	7
Japanese-GSD_2.8	4418549	SOV	DA_N	2	1	1	6.393	2.599	6
Japanese-GSD_2.8	5285840	SOV	DAN_	3	1	2	6.311	2.607	7
Japanese-GSD_2.8	63691	SOV	DA_N	2	1	1	6.375	2.601	6
Japanese-GSD_2.8	6602710	SOV	ADN_	2	1	3	6.603	4.869	7
Japanese-GSD_2.8	6801720	SOV	DA_N	2	1	1	6.375	2.601	6
Kazakh_2.8	1158358	SOV	DNA_	3	2	1	7.958	1.947	8
Kazakh_2.8	2159775	SOV	DAN_	3	1	2	7.877	2.015	8
Kazakh_2.8	2656663	SOV	DAN_	3	1	2	7.952	2.048	8
Kazakh_2.8	2768904	SOV	DAN_	3	1	2	7.865	2.035	8
Kazakh_2.8	2782837	SOV	DAN_	3	1	2	7.865	2.063	8
Kazakh_2.8	5976450	SVO	A_ND	2	1	1	7.952	2.165	3
Kazakh_2.8	7111969	SOV	DAN_	3	1	2	7.872	2.01	8
Kazakh_2.8	7271389	SOV	DAN_	3	1	2	7.881	1.954	8
Kazakh_2.8	788852	SOV	DAN_	3	1	2	7.876	2.011	8
Kazakh_2.8	8728184	SOV	DAN_	3	1	2	7.876	1.961	8
Kiche_2.8	2111698	SOV	NDA_	2	3	1	5.541	1.679	5
Kiche_2.8	2732270	SOV	NDA_	2	3	1	5.55	1.758	6
Kiche_2.8	3100829	SOV	DAN_	3	1	2	5.557	1.849	6
Kiche_2.8	4344704	SOV	NDA_	2	3	1	5.554	1.798	6
Kiche_2.8	505961	SOV	DA_N	2	1	1	5.585	1.78	4
Kiche_2.8	5115626	SOV	NDA_	2	3	1	5.573	1.929	6
Kiche_2.8	5573457	SOV	NAD_	1	3	2	5.559	1.83	5
Kiche_2.8	5970113	SOV	NDA_	2	3	1	5.555	1.944	6
Kiche_2.8	6135578	SOV	DA_N	2	1	1	5.561	1.776	6
Kiche_2.8	6663397	SOV	DA_N	2	1	1	5.542	1.7	7
Komi_Zyrian_2.8	1734147	SVO	DA_N	2	1	1	7.852	2.226	8
Komi_Zyrian_2.8	1773257	SOV	NDA_	2	3	1	7.868	2.154	8
Komi_Zyrian_2.8	3279755	SVO	DA_N	2	1	1	7.862	2.235	8
Komi_Zyrian_2.8	3816105	SVO	NDA_	2	3	1	7.84	2.38	3
Komi_Zyrian_2.8	3915552	SVO	A_DN	1	2	1	7.828	2.387	3
Komi_Zyrian_2.8	4523617	SVO	NDA_	2	3	1	7.831	2.383	3
Komi_Zyrian_2.8	6589223	SVO	AD_N	1	1	2	7.882	2.152	6
Komi_Zyrian_2.8	8759884	SVO	NA_D	1	2	1	7.866	2.534	3
Komi_Zyrian_2.8	9161603	SVO	DA_N	2	1	1	7.824	2.436	6
Komi_Zyrian_2.8	983856	SOV	NDA_	2	3	1	7.868	2.181	8
Korean_2.8	2838623	SOV	DAN_	3	1	2	9.704	2.512	7
Korean_2.8	2886391	SOV	DAN_	3	1	2	9.696	2.441	7
Korean_2.8	2912445	SOV	DAN_	3	1	2	9.628	2.56	7
Korean_2.8	3437193	SOV	DAN_	3	1	2	9.628	2.559	7
Korean_2.8	3846713	SOV	DAN_	3	1	2	9.708	2.525	7
Korean_2.8	6949511	SOV	DAN_	3	1	2	9.706	2.504	7
Korean_2.8	859847	SOV	DAN_	3	1	2	9.628	2.558	7
