language	ID	basic	np	Dist_D	Dist_N	Dist_A	Surprisal2	DepLen	SatisfiedCorrelations
Afrikaans_2.8	1410478	SVO	AN_D	1	1	2	5.866	2.429	7
Afrikaans_2.8	1789368	SVO	DAN_	3	1	2	5.89	2.271	7
Afrikaans_2.8	3291591	SVO	DAN_	3	1	2	5.915	2.773	7
Afrikaans_2.8	3616279	SVO	AN_D	1	1	2	5.866	2.429	7
Afrikaans_2.8	4382947	SVO	AN_D	1	1	2	5.871	2.422	7
Afrikaans_2.8	7667226	SVO	AN_D	1	1	2	5.867	2.43	7
Akkadian_2.8	1462468	SOV	NDA_	2	3	1	4.457	3.341	6
Akkadian_2.8	3060706	SVO	DA_N	2	1	1	4.608	3.666	6
Akkadian_2.8	3468703	SOV	NDA_	2	3	1	4.47	3.23	6
Akkadian_2.8	400005	SOV	DNA_	3	2	1	4.485	3.363	1
Akkadian_2.8	426118	SOV	DA_N	2	1	1	4.559	3.709	6
Akkadian_2.8	5715548	SOV	NDA_	2	3	1	4.574	3.825	5
Akkadian_2.8	7076670	SOV	A_DN	1	2	1	4.478	3.213	6
Akkadian_2.8	9178444	SOV	NDA_	2	3	1	4.472	3.232	6
Akkadian_2.8	9339630	SOV	NDA_	2	3	1	4.505	3.331	6
Amharic_2.8	1337476	SVO	A_ND	2	1	1	5.026	2.004	6
Amharic_2.8	2595545	SOV	DA_N	2	1	1	5.135	2.425	8
Amharic_2.8	2995420	SVO	NDA_	2	3	1	4.981	2.029	8
Amharic_2.8	4550784	SVO	NDA_	2	3	1	4.971	2.036	8
Amharic_2.8	4662264	SVO	ADN_	2	1	3	4.988	1.957	8
Amharic_2.8	6554861	OSV	DAN_	3	1	2	5.128	1.936	8
Amharic_2.8	8266146	SVO	A_DN	1	2	1	4.951	2.265	6
Amharic_2.8	8358054	SVO	AND_	1	2	3	4.973	2.032	8
Amharic_2.8	847589	SVO	AN_D	1	1	2	5.043	2.15	3
Amharic_2.8	9703755	SVO	AND_	1	2	3	4.982	1.99	8
Ancient_Greek_2.8	1226914	SOV	AD_N	1	1	2	7.519	2.257	8
Ancient_Greek_2.8	1600145	SOV	AD_N	1	1	2	7.547	2.323	8
Ancient_Greek_2.8	1703992	SOV	AD_N	1	1	2	7.515	2.252	8
Ancient_Greek_2.8	2878447	SOV	AD_N	1	1	2	7.542	2.29	8
Ancient_Greek_2.8	580820	SOV	AN_D	1	1	2	7.534	2.581	5
Ancient_Greek_2.8	5878769	SOV	AD_N	1	1	2	7.549	2.404	8
Ancient_Greek_2.8	6121940	SOV	AD_N	1	1	2	7.542	2.29	8
Ancient_Greek_2.8	8088034	SOV	AD_N	1	1	2	7.543	2.289	8
Ancient_Greek_2.8	9484040	SVO	ADN_	2	1	3	7.549	2.948	8
Ancient_Greek_2.8	9994182	SOV	AD_N	1	1	2	7.517	2.254	8
Arabic_2.8	3117806	SVO	NAD_	1	3	2	2.461	2.678	8
Arabic_2.8	3444117	OSV	DAN_	3	1	2	2.478	2.975	8
Arabic_2.8	5061477	SVO	NDA_	2	3	1	2.482	2.941	8
Arabic_2.8	6940319	SVO	NAD_	1	3	2	2.461	2.679	8
Arabic_2.8	7270553	OSV	DAN_	3	1	2	2.478	2.975	8
Arabic_2.8	737049	SVO	NDA_	2	3	1	2.482	2.941	8
Arabic_2.8	7834943	SVO	NAD_	1	3	2	2.461	2.68	8
Arabic_2.8	8181742	SVO	NAD_	1	3	2	2.461	2.679	8
Arabic_2.8	8423627	OSV	DAN_	3	1	2	2.478	2.975	8
Arabic_2.8	9781741	SVO	NAD_	1	3	2	2.461	2.685	8
Armenian_2.8	148100	SOV	DAN_	3	1	2	7.984	2.577	8
Armenian_2.8	4877047	SVO	DAN_	3	1	2	7.975	2.645	8
Armenian_2.8	5018478	SVO	NA_D	1	2	1	7.973	2.612	8
Armenian_2.8	5395699	SVO	DAN_	3	1	2	7.984	2.523	8
Armenian_2.8	5865132	SVO	DNA_	3	2	1	7.977	2.514	8
Armenian_2.8	6284133	SOV	DAN_	3	1	2	7.978	2.68	8
Armenian_2.8	7423996	SVO	DAN_	3	1	2	7.976	2.648	8
Armenian_2.8	855191	SVO	DNA_	3	2	1	7.975	2.727	8
Armenian_2.8	897305	SVO	DNA_	3	2	1	7.979	2.503	8
Armenian_2.8	9475240	SVO	DNA_	3	2	1	7.97	2.608	8
Bambara_2.8	118849	SOV	A_DN	1	2	1	4.358	2.122	5
Bambara_2.8	1629271	SVO	A_DN	1	2	1	4.379	2.259	4
Bambara_2.8	3463107	SOV	A_DN	1	2	1	4.312	2.307	3
Bambara_2.8	7274354	SOV	A_DN	1	2	1	4.358	2.103	7
Bambara_2.8	7642929	SOV	A_DN	1	2	1	4.361	2.435	5
Bambara_2.8	7841579	SOV	A_DN	1	2	1	4.332	2.198	3
Bambara_2.8	9470441	SOV	A_DN	1	2	1	4.355	2.176	7
Basque_2.8	1824041	SOV	DNA_	3	2	1	7.811	2.297	8
Basque_2.8	1911134	SOV	DNA_	3	2	1	7.779	2.385	8
Basque_2.8	2134080	SOV	DNA_	3	2	1	7.83	2.169	8
Basque_2.8	2735101	OSV	DNA_	3	2	1	7.848	2.082	8
Basque_2.8	5130232	SOV	DAN_	3	1	2	7.781	2.382	8
Basque_2.8	5152073	SOV	DAN_	3	1	2	7.797	2.388	8
Basque_2.8	6084186	SOV	DNA_	3	2	1	7.793	2.405	8
Basque_2.8	6704791	SOV	DNA_	3	2	1	7.798	2.318	8
Basque_2.8	8609191	OSV	DNA_	3	2	1	7.861	2.103	8
Basque_2.8	9710996	SOV	DNA_	3	2	1	7.943	2.632	8
Belarusian_2.8	144937	SVO	NAD_	1	3	2	8.117	2.241	8
Belarusian_2.8	2786449	SVO	DA_N	2	1	1	8.105	2.1	8
Belarusian_2.8	3338090	SVO	AD_N	1	1	2	8.106	2.101	8
Belarusian_2.8	5267035	SVO	DNA_	3	2	1	8.118	2.215	8
Belarusian_2.8	7176330	SVO	DA_N	2	1	1	8.112	2.108	8
Belarusian_2.8	7852743	SVO	DA_N	2	1	1	8.13	2.145	8
Belarusian_2.8	7902387	SVO	DA_N	2	1	1	8.114	2.24	8
Belarusian_2.8	8308430	SVO	DA_N	2	1	1	8.106	2.095	8
Belarusian_2.8	9388604	SVO	DA_N	2	1	1	8.109	2.16	8
Belarusian_2.8	991962	SVO	DA_N	2	1	1	8.106	2.096	8
Breton_2.8	1108885	OSV	A_ND	2	1	1	5.99	2.557	6
Breton_2.8	124955	OSV	DA_N	2	1	1	6.05	1.997	8
Breton_2.8	163889	SOV	A_ND	2	1	1	6.069	2.432	5
Breton_2.8	2822469	SOV	A_ND	2	1	1	5.978	2.505	6
Breton_2.8	2910770	OSV	DA_N	2	1	1	6.035	1.968	8
Breton_2.8	3420690	SOV	DAN_	3	1	2	6.018	2.029	8
Breton_2.8	3642199	SOV	A_ND	2	1	1	6.113	2.553	8
Breton_2.8	6118272	OSV	DA_N	2	1	1	6.049	2.116	8
Breton_2.8	6158735	OSV	A_ND	2	1	1	6.043	2.04	8
Breton_2.8	6420735	SOV	A_ND	2	1	1	5.967	2.514	6
Bulgarian_2.8	2143434	OSV	NA_D	1	2	1	7.46	2.203	7
Bulgarian_2.8	4352055	OSV	ADN_	2	1	3	7.401	2.04	8
Bulgarian_2.8	4463449	OSV	NDA_	2	3	1	7.424	2.031	8
Bulgarian_2.8	4733039	SVO	A_ND	2	1	1	7.397	2.245	8
Bulgarian_2.8	9864125	OSV	AN_D	1	1	2	7.421	2.167	8
Buryat_2.8	1855905	SOV	NDA_	2	3	1	7.902	2.032	6
Buryat_2.8	2021773	SOV	NDA_	2	3	1	7.89	2.2	6
Buryat_2.8	2956318	SOV	DA_N	2	1	1	7.873	2.211	6
Buryat_2.8	4035015	SVO	NDA_	2	3	1	7.902	2.15	5
Buryat_2.8	4219045	SOV	NDA_	2	3	1	7.907	2.259	7
Buryat_2.8	6758042	SOV	DA_N	2	1	1	7.878	2.241	7
Buryat_2.8	7909319	SVO	NDA_	2	3	1	7.924	2.061	5
Buryat_2.8	808621	SOV	DA_N	2	1	1	7.902	2.138	6
Cantonese_2.8	2324623	SVO	ADN_	2	1	3	5.359	2.427	8
Cantonese_2.8	2349827	SOV	ADN_	2	1	3	5.344	2.947	7
Cantonese_2.8	2568276	SVO	ADN_	2	1	3	5.314	2.444	8
Cantonese_2.8	4913547	SOV	ADN_	2	1	3	5.301	2.611	6
Cantonese_2.8	5296039	SVO	DNA_	3	2	1	5.306	2.786	6
Cantonese_2.8	6741595	SOV	DNA_	3	2	1	5.314	2.442	7
Cantonese_2.8	7992894	SOV	ADN_	2	1	3	5.484	3.061	8
Cantonese_2.8	8259026	OSV	DNA_	3	2	1	5.347	2.627	4
Cantonese_2.8	9071589	SOV	A_ND	2	1	1	5.332	2.673	5
Cantonese_2.8	9501275	SVO	ADN_	2	1	3	5.413	3.212	7
Catalan_2.8	1604927	SVO	A_DN	1	2	1	5.789	2.527	8
Catalan_2.8	1639225	SVO	A_DN	1	2	1	5.882	3.148	5
Catalan_2.8	332349	SVO	A_DN	1	2	1	6.132	4.849	8
Catalan_2.8	4605476	SVO	NA_D	1	2	1	5.813	2.954	5
Catalan_2.8	5226940	SVO	A_DN	1	2	1	5.836	2.672	8
Catalan_2.8	6374473	SVO	A_DN	1	2	1	5.851	2.769	8
Catalan_2.8	7657450	SVO	A_DN	1	2	1	5.789	2.527	8
Catalan_2.8	8707228	SVO	A_DN	1	2	1	5.837	2.77	8
Catalan_2.8	8905692	SVO	A_DN	1	2	1	5.842	2.721	8
Catalan_2.8	8935733	SVO	A_DN	1	2	1	5.789	2.527	8
Chinese_2.8	2045177	SOV	AD_N	1	1	2	7.506	2.645	8
Chinese_2.8	2168080	OSV	AN_D	1	1	2	7.514	2.686	8
Chinese_2.8	2243565	OSV	AD_N	1	1	2	7.509	2.584	8
Chinese_2.8	525381	OSV	AN_D	1	1	2	7.503	2.611	8
Chinese_2.8	6547511	SOV	DAN_	3	1	2	7.508	2.616	8
Chinese_2.8	7378313	SOV	AD_N	1	1	2	7.518	2.743	8
Chinese_2.8	890558	SVO	A_ND	2	1	1	7.538	2.763	4
Chinese_2.8	9100048	SVO	A_ND	2	1	1	7.524	2.659	6
Chinese_2.8	9950314	OSV	DA_N	2	1	1	7.521	2.731	8
Classical_Chinese_2.8	1349806	SOV	DA_N	2	1	1	5.503	1.659	7
Classical_Chinese_2.8	3245577	SOV	A_ND	2	1	1	5.521	1.658	7
Classical_Chinese_2.8	4770873	SOV	DNA_	3	2	1	5.526	1.635	7
Classical_Chinese_2.8	8187877	SOV	A_ND	2	1	1	5.523	1.631	7
Classical_Chinese_2.8	8676526	SOV	A_ND	2	1	1	5.518	1.621	7
Classical_Chinese_2.8	9492499	SOV	DNA_	3	2	1	5.53	1.654	7
Coptic_2.8	1324629	SVO	NA_D	1	2	1	4.775	4.083	1
Coptic_2.8	1904314	SVO	NDA_	2	3	1	4.52	2.409	8
Coptic_2.8	2189020	SVO	DA_N	2	1	1	4.487	2.398	8
Coptic_2.8	3515076	SVO	DA_N	2	1	1	4.486	2.431	8
Coptic_2.8	481532	SVO	DA_N	2	1	1	4.605	2.544	1
Coptic_2.8	5448316	SVO	DA_N	2	1	1	4.491	2.527	8
Coptic_2.8	5587157	SVO	NA_D	1	2	1	4.574	2.755	1
Coptic_2.8	6787062	SVO	DA_N	2	1	1	4.573	2.531	8
Coptic_2.8	9097746	SVO	DNA_	3	2	1	4.521	2.423	8
Coptic_2.8	9349050	SVO	NDA_	2	3	1	4.582	3.096	4
Croatian_2.8	2819543	OSV	DA_N	2	1	1	7.8	2.35	8
Croatian_2.8	4065553	OSV	DA_N	2	1	1	7.8	2.35	8
Croatian_2.8	647822	SOV	DA_N	2	1	1	7.85	3.034	5
Croatian_2.8	7074501	OSV	DA_N	2	1	1	7.899	2.639	8
Croatian_2.8	9308230	OSV	DA_N	2	1	1	7.816	2.274	8
Croatian_2.8	9555080	OSV	DA_N	2	1	1	7.816	2.274	8
Danish_2.8	3089827	SVO	DAN_	3	1	2	7.108	2.6	8
Danish_2.8	4705390	OSV	DAN_	3	1	2	7.097	2.393	8
Danish_2.8	5246863	SVO	AN_D	1	1	2	7.082	2.752	8
Danish_2.8	5511747	OSV	DAN_	3	1	2	7.106	2.47	8
Danish_2.8	5860290	OSV	DAN_	3	1	2	7.093	2.399	8
Danish_2.8	8045637	OSV	DAN_	3	1	2	7.092	2.405	8
Danish_2.8	9109429	SVO	AN_D	1	1	2	7.07	2.523	8
Danish_2.8	9487974	OSV	DAN_	3	1	2	7.101	2.402	8
Dutch_2.8	3039223	SVO	A_DN	1	2	1	6.773	2.599	7
Dutch_2.8	3659262	SVO	A_DN	1	2	1	6.787	2.574	3
Dutch_2.8	4615611	SOV	NA_D	1	2	1	6.746	2.644	5
Dutch_2.8	6831540	SVO	NA_D	1	2	1	6.713	2.295	8
